is_parent_record,app_id,customer_type,salutation,contact_name,display_name,use_app_user_details,is_sub_customer,organisation_type,organisation_name,is_msme_reg,email,phone,website,facebook,twitter,notes,is_contact_address,contact_person,flat_door_no,street,city,pincode,state,country,is_billing_address,is_shipping_address,is_contact_account_details,account_holder_name,account_number,ifsc_code,bank_name,branch_name,is_contact_tax_details,pan,gstin,gst_reg_type,business_reg_no,tax_reg_no,cst_reg_no,opening_balance,as_of,preferred_payment_method,preferred_currency,preferred_delivery,invoice_terms,billing_terms
TRUE,,1,0,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,email@gmail.com,11452786,website.com,fb.com,twitter.com,,TRUE,contact_person1,6/1,New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,111000000000,IFSC0001,ICICI,KGP,TRUE,adbc334,554774gst556,1,,,,0,,1,USD,1,1,1
FALSE,,,,,,,,,,,,,,,,,TRUE,contact_person2,vincent Villa,sonamukhi johili,mumbai,400101,maharastra,IND,FALSE,TRUE,TRUE,account_holder_name2,22222222,IFSC0002,SBI,dadar,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,account_holder_name3,33333333,IFSC00987,YES BANK,bandra,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,account_holder_name4,44444444,IFSC7765,HDFC,andheri,,,,,,,,,,,,,,
TRUE,,0,0,Akhil,Akhil K,FALSE,2,2,My_org,FALSE,abc@gmail.com,11452786,xyz.com,xyz@fb,xyz@tw,,TRUE,Akhil,dhf,dfjl,mumbai,700092,maharastra,IND,TRUE,FALSE,TRUE,Akhil,111000000000,IFSC0001,ICICI,Mumbai,,,,,,,,,,1,INR,1,1,1
FALSE,,,,,,,,,,,,,,,,,TRUE,Akhil,dfkj,dnf,blr,721302,karnataka,IND,FALSE,TRUE,TRUE,Akhil,22222222,IFSC0002,SBI,Mumbai,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,Akhil,33333333,IFSC00987,YES BANK,Mumbai,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,Akhil,44444444,IFSC7765,HDFC,Mumbai,,,,,,,,,,,,,,
TRUE,,1,0,contact_name2,display_name2,TRUE,2,3,organisation_name2,FALSE,email2@gmail.com,11452786,web2.com,xyz@fb,twitter2@tw,,TRUE,contact_person1,43983,New south park,mumbai,700092,Delhi,IND,TRUE,FALSE,TRUE,Name1,111000000000,IFSC0001,ICICI,KGP,,,,,,,,,,1,USD,1,1,1
FALSE,,,,,,,,,,,,,,,,,TRUE,contact_person2,vincent Villa,sonamukhi johili,mumbai,721302,Delhi,IND,FALSE,TRUE,TRUE,name2,22222222,IFSC0002,SBI,KGP,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,name3,33333333,IFSC00987,YES BANK,delhi,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,name4,44444444,IFSC7765,HDFC,delhi,,,,,,,,,,,,,,
