is_parent_record,app_id,customer_type,salutation,contact_name,display_name,use_app_user_details,is_sub_customer,organisation_type,organisation_name,is_msme_reg,email,phone,website,facebook,twitter,notes,is_contact_address,contact_person,flat_door_no,street,city,pincode,state,country,is_billing_address,is_shipping_address,is_contact_account_details,account_holder_name,account_number,ifsc_code,bank_name,branch_name,is_contact_tax_details,pan,gstin,gst_reg_type,business_reg_no,tax_reg_no,cst_reg_no,opening_balance,as_of,preferred_payment_method,preferred_currency,preferred_delivery,invoice_terms,billing_terms
TRUE,APK-xoXTViMCCg,1,0,ABCDEFG,ABCDE,TRUE,1,1,XYZ,FALSE,abc@gmail.com,11452786,xyz.com,xyz@fb,xyz@tw,,TRUE,G. LAWRENCE,6/1,New south park,kolkata,700092,west bengal,IND,TRUE,FALSE,TRUE,G lawrence,1.11E+11,IFSC0001,ICICI,KGP,TRUE,adbc334,554774gst556,1,,,,0,,1,USD,1,1,1
FALSE,,,,,,,,,,,,,,,,,TRUE,G. ANTHONY,vincent Villa,sonamukhi johili,kharagpur,721302,west bengal,IND,FALSE,TRUE,TRUE,G lawrence,22222222,IFSC0002,SBI,KGP,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,G lawrence,33333333,IFSC00987,YES BANK,KOL,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,G lawrence,44444444,IFSC7765,HDFC,KOL,,,,,,,,,,,,,,
TRUE,,1,0,Akhil,Akhil K,FALSE,2,2,sss,FALSE,abc@gmail.com,11452786,xyz.com,xyz@fb,xyz@tw,,TRUE,Akhil,dhf,dfjl,mumbai,700092,maharastra,IND,TRUE,FALSE,TRUE,Akhil,1.11E+11,IFSC0001,ICICI,Mumbai,,,,,,,,,,1,INR,1,1,1
FALSE,,,,,,,,,,,,,,,,,TRUE,Akhil,dfkj,dnf,blr,721302,karnataka,IND,FALSE,TRUE,TRUE,Akhil,22222222,IFSC0002,SBI,Mumbai,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,Akhil,33333333,IFSC00987,YES BANK,Mumbai,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,Akhil,44444444,IFSC7765,HDFC,Mumbai,,,,,,,,,,,,,,
TRUE,APK-xoXTViMCC,1,0,ABCDEFG,ABCDE,TRUE,2,3,XYZ,FALSE,abc@gmail.com,11452786,xyz.com,xyz@fb,xyz@tw,,TRUE,G. LAWRENCE,43983,New south park,kolkata,700092,west bengal,IND,TRUE,FALSE,TRUE,G lawrence,1.11E+11,IFSC0001,ICICI,KGP,,,,,,,,,,1,USD,1,1,1
FALSE,,,,,,,,,,,,,,,,,TRUE,G. ANTHONY,vincent Villa,sonamukhi johili,kharagpur,721302,west bengal,IND,FALSE,TRUE,TRUE,G lawrence,22222222,IFSC0002,SBI,KGP,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,G lawrence,33333333,IFSC00987,YES BANK,KOL,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,G lawrence,44444444,IFSC7765,HDFC,KOL,,,,,,,,,,,,,,
